source_system,source_table,source_column,source_data_type,target_table,target_column,target_data_type,transformation_logic,is_partition_column,is_cluster_column,notes
MySQL,employees,EMPLOYEE_ID,"decimal(10,0)",stg_employees,employee_id,INT64,CAST(EMPLOYEE_ID AS INT64),False,False,"Primary key; decimal(10,0) has no fractional part so safe to downcast to INT64; one half of the composite merge key (employee_id + updated_date) used by sp_mysqltobq_load.sql"
MySQL,employees,FIRST_NAME,varchar(50),stg_employees,first_name,STRING,CAST(FIRST_NAME AS STRING),False,False,varchar(50) maps to unbounded BigQuery STRING; NOT NULL constraint from source preserved
MySQL,employees,LAST_NAME,varchar(50),stg_employees,last_name,STRING,CAST(LAST_NAME AS STRING),False,False,varchar(50) maps to unbounded BigQuery STRING; NOT NULL constraint from source preserved
MySQL,employees,EMAIL,varchar(100),stg_employees,email,STRING,CAST(EMAIL AS STRING),False,False,varchar(100) maps to BigQuery STRING; NOT NULL in source; consider adding schema validation check for email format during load
MySQL,employees,PHONE_NUMBER,varchar(20),stg_employees,phone_number,STRING,CAST(PHONE_NUMBER AS STRING),False,False,Nullable in source; varchar(20) maps to STRING; retain as STRING to preserve formatting characters such as hyphens and parentheses
MySQL,employees,HIRE_DATE,date,stg_employees,hire_date,DATE,CAST(HIRE_DATE AS DATE),False,False,Direct DATE-to-DATE mapping; no timezone conversion required; NOT NULL in source
MySQL,employees,JOB_ID,varchar(20),stg_employees,job_id,STRING,CAST(JOB_ID AS STRING),False,True,Third clustering column; low-to-medium cardinality job role code; NOT NULL in source; varchar(20) maps to STRING
MySQL,employees,SALARY,"decimal(8,2)",stg_employees,salary,NUMERIC,CAST(SALARY AS NUMERIC),False,False,"BigQuery NUMERIC supports 29 digits with 9 decimal places; fully covers decimal(8,2); NOT NULL in source; preserves exact monetary precision"
MySQL,employees,COMMISSION_PCT,"decimal(4,2)",stg_employees,commission_pct,NUMERIC,CAST(COMMISSION_PCT AS NUMERIC),False,False,"Nullable in source; decimal(4,2) represents values up to 99.99; BigQuery NUMERIC preserves exact scale"
MySQL,employees,MANAGER_ID,"decimal(10,0)",stg_employees,manager_id,INT64,CAST(MANAGER_ID AS INT64),False,False,"Nullable self-referencing FK to employee_id; decimal(10,0) has no fractional part so INT64 cast is safe; NULL indicates top-level employee with no manager"
MySQL,employees,DEPARTMENT_ID,"decimal(4,0)",stg_employees,department_id,INT64,CAST(DEPARTMENT_ID AS INT64),False,True,First and highest-priority clustering column; low cardinality improves performance for departmental filters and GROUP BY operations; nullable in source
MySQL,employees,STATUS,varchar(10),stg_employees,status,STRING,CAST(STATUS AS STRING),False,True,"Second clustering column; very low cardinality (e.g. ACTIVE, INACTIVE); NOT NULL in source; varchar(10) maps to STRING"
MySQL,employees,CREATED_DATE,timestamp,stg_employees,created_date,TIMESTAMP,CAST(CREATED_DATE AS TIMESTAMP),False,False,MySQL TIMESTAMP stored in UTC maps directly to BigQuery TIMESTAMP (UTC); NOT NULL in source; captures original record creation time
MySQL,employees,UPDATED_DATE,timestamp,stg_employees,updated_date,TIMESTAMP,CAST(UPDATED_DATE AS TIMESTAMP),True,False,Partition column with DAY granularity enabling partition pruning on incremental loads; second half of the composite merge key (employee_id + updated_date) used by sp_mysqltobq_load.sql; nullable in source — NULL records will be routed to the __NULL__ partition; 60-day retention policy applied at table level should account for this partition boundary
