source_system,source_table,source_column,source_data_type,target_table,target_column,target_data_type,transformation_logic,is_partition_column,is_cluster_column,notes
MySQL,employees,EMPLOYEE_ID,"decimal(10,0)",stg_employees,employee_id,INT64,CAST(EMPLOYEE_ID AS INT64),False,False,"Primary key. decimal(10,0) carries no fractional part and fits within INT64 range. Uniqueness enforced after every load per acceptance criteria."
MySQL,employees,FIRST_NAME,varchar(50),stg_employees,first_name,STRING,CAST(FIRST_NAME AS STRING),False,False,VARCHAR maps directly to BigQuery STRING. Maximum 50-character constraint enforced at source.
MySQL,employees,LAST_NAME,varchar(50),stg_employees,last_name,STRING,CAST(LAST_NAME AS STRING),False,False,VARCHAR maps directly to BigQuery STRING. Maximum 50-character constraint enforced at source.
MySQL,employees,EMAIL,varchar(100),stg_employees,email,STRING,CAST(EMAIL AS STRING),False,False,VARCHAR(100) maps to STRING. NOT NULL in source; null constraint validated pre-load per acceptance criteria.
MySQL,employees,PHONE_NUMBER,varchar(20),stg_employees,phone_number,STRING,CAST(PHONE_NUMBER AS STRING),False,False,Nullable in source; NULL values are preserved in the BigQuery STRING column.
MySQL,employees,HIRE_DATE,date,stg_employees,hire_date,DATE,CAST(HIRE_DATE AS DATE),True,False,Partition column with DAY granularity. Enables efficient date-range pruning for HR analytics queries and supports the 60-day retention policy management.
MySQL,employees,JOB_ID,varchar(20),stg_employees,job_id,STRING,CAST(JOB_ID AS STRING),False,True,Cluster column. Low-to-medium cardinality job identifier co-located with department_id and status to improve filter performance on analytical queries.
MySQL,employees,SALARY,"decimal(8,2)",stg_employees,salary,NUMERIC,CAST(SALARY AS NUMERIC),False,False,NUMERIC preserves the two decimal places of precision required for monetary values without floating-point rounding errors.
MySQL,employees,COMMISSION_PCT,"decimal(4,2)",stg_employees,commission_pct,NUMERIC,CAST(COMMISSION_PCT AS NUMERIC),False,False,"Nullable in source; NULL values preserved. NUMERIC retains the two decimal place precision of the source decimal(4,2)."
MySQL,employees,MANAGER_ID,"decimal(10,0)",stg_employees,manager_id,INT64,CAST(MANAGER_ID AS INT64),False,False,"Self-referential FK to employee_id. Nullable for top-level employees who have no manager. decimal(10,0) has no fractional part and fits INT64."
MySQL,employees,DEPARTMENT_ID,"decimal(4,0)",stg_employees,department_id,INT64,CAST(DEPARTMENT_ID AS INT64),False,True,Cluster column. Low cardinality department identifier as the first cluster key provides the greatest pruning benefit for department-filtered analytical queries. Nullable in source.
MySQL,employees,STATUS,varchar(10),stg_employees,status,STRING,CAST(STATUS AS STRING),False,True,Cluster column. Very low cardinality (e.g. active or inactive) placed third in the cluster key to support status-filtered analytical and reporting queries.
MySQL,employees,CREATED_DATE,timestamp,stg_employees,created_date,TIMESTAMP,CAST(CREATED_DATE AS TIMESTAMP),False,False,Record creation timestamp from the source system. NOT NULL in source; null constraint validated pre-load.
MySQL,employees,UPDATED_DATE,timestamp,stg_employees,updated_date,TIMESTAMP,CAST(UPDATED_DATE AS TIMESTAMP),False,False,Nullable. Primary high-watermark column for daily incremental load strategy: WHERE updated_date > last_load_watermark OR (updated_date IS NULL AND created_date > last_load_watermark).
