source_system,source_table,source_column,source_data_type,target_table,target_column,target_data_type,transformation_logic,is_partition_column,is_cluster_column,notes
PostgreSQL,categories,CATEGORY_ID,INTEGER,stg_categories,category_id,INT64,CAST(CATEGORY_ID AS INT64),False,True,Primary key; NOT NULL enforced; INTEGER cast to INT64; UPSERT merge key
PostgreSQL,categories,CATEGORY_NAME,VARCHAR,stg_categories,category_name,STRING,CAST(CATEGORY_NAME AS STRING),False,False,NOT NULL enforced; VARCHAR maps to STRING in BigQuery
PostgreSQL,categories,DESCRIPTION,TEXT,stg_categories,description,STRING,CAST(DESCRIPTION AS STRING),False,False,Nullable TEXT mapped to STRING; BigQuery STRING handles unbounded length
PostgreSQL,categories,PARENT_CATEGORY_ID,INTEGER,stg_categories,parent_category_id,INT64,CAST(PARENT_CATEGORY_ID AS INT64),False,False,Nullable self-referencing FK; null for root-level categories; supports category hierarchy traversal
PostgreSQL,categories,CREATED_AT,TIMESTAMP,stg_categories,created_at,TIMESTAMP,CAST(CREATED_AT AS TIMESTAMP),True,False,NOT NULL enforced; partition column with DAY granularity; used for time-range pruning on full daily reloads
PostgreSQL,suppliers,SUPPLIER_ID,INTEGER,stg_suppliers,supplier_id,INT64,CAST(SUPPLIER_ID AS INT64),False,True,Primary key; NOT NULL enforced; UPSERT merge key
PostgreSQL,suppliers,SUPPLIER_NAME,VARCHAR,stg_suppliers,supplier_name,STRING,CAST(SUPPLIER_NAME AS STRING),False,False,NOT NULL enforced
PostgreSQL,suppliers,CONTACT_EMAIL,VARCHAR,stg_suppliers,contact_email,STRING,CAST(CONTACT_EMAIL AS STRING),False,False,Nullable; VARCHAR mapped to STRING
PostgreSQL,suppliers,COUNTRY,VARCHAR,stg_suppliers,country,STRING,CAST(COUNTRY AS STRING),False,True,Nullable; cluster column enabling efficient geographic filtering in supplier queries
PostgreSQL,suppliers,IS_ACTIVE,BOOLEAN,stg_suppliers,is_active,BOOL,CAST(IS_ACTIVE AS BOOL),False,False,NOT NULL enforced; BOOLEAN maps directly to BOOL in BigQuery
PostgreSQL,suppliers,CREATED_AT,TIMESTAMP,stg_suppliers,created_at,TIMESTAMP,CAST(CREATED_AT AS TIMESTAMP),True,False,NOT NULL enforced; partition column with DAY granularity; used for time-range pruning on full daily reloads
PostgreSQL,products,PRODUCT_ID,INTEGER,stg_products,product_id,INT64,CAST(PRODUCT_ID AS INT64),False,False,Primary key; NOT NULL enforced; UPSERT merge key for incremental sync
