source_system,source_table,source_column,source_data_type,target_table,target_column,target_data_type,transformation_logic,is_partition_column,is_cluster_column,notes
MySQL,employees,EMPLOYEE_ID,"decimal(10,0)",stg_employees,employee_id,INT64,CAST(EMPLOYEE_ID AS INT64),False,False,"Primary key in source (PRI); no fractional part in decimal(10,0) so INT64 is lossless. First component of merge key used by sp_mysqltobq_load.sql."
MySQL,employees,FIRST_NAME,varchar(50),stg_employees,first_name,STRING,CAST(FIRST_NAME AS STRING),False,False,NOT NULL in source; BigQuery STRING is unbounded and fully accommodates varchar(50).
MySQL,employees,LAST_NAME,varchar(50),stg_employees,last_name,STRING,CAST(LAST_NAME AS STRING),False,False,NOT NULL in source; direct cast; BigQuery STRING accommodates varchar(50).
MySQL,employees,EMAIL,varchar(100),stg_employees,email,STRING,CAST(EMAIL AS STRING),False,False,NOT NULL in source; direct cast; BigQuery STRING accommodates varchar(100).
MySQL,employees,PHONE_NUMBER,varchar(20),stg_employees,phone_number,STRING,CAST(PHONE_NUMBER AS STRING),False,False,Nullable in source (YES); NULL values are preserved; direct cast.
MySQL,employees,HIRE_DATE,date,stg_employees,hire_date,DATE,CAST(HIRE_DATE AS DATE),False,False,NOT NULL in source; MySQL DATE maps directly to BigQuery DATE with no precision loss.
MySQL,employees,JOB_ID,varchar(20),stg_employees,job_id,STRING,CAST(JOB_ID AS STRING),False,True,NOT NULL in source; second clustering column supporting job-role-based analytics queries; direct cast.
MySQL,employees,SALARY,"decimal(8,2)",stg_employees,salary,NUMERIC,CAST(SALARY AS NUMERIC),False,False,"NOT NULL in source; BigQuery NUMERIC supports 29 digits before and 9 after the decimal point, fully covering decimal(8,2) with no loss."
MySQL,employees,COMMISSION_PCT,"decimal(4,2)",stg_employees,commission_pct,NUMERIC,CAST(COMMISSION_PCT AS NUMERIC),False,False,"Nullable in source (YES); NULL values preserved; decimal(4,2) is well within BigQuery NUMERIC range."
MySQL,employees,MANAGER_ID,"decimal(10,0)",stg_employees,manager_id,INT64,CAST(MANAGER_ID AS INT64),False,False,"Nullable in source (YES); self-referencing FK to employee_id; NULL indicates a top-level manager with no parent; decimal(10,0) is losslessly cast to INT64."
MySQL,employees,DEPARTMENT_ID,"decimal(4,0)",stg_employees,department_id,INT64,CAST(DEPARTMENT_ID AS INT64),False,True,"Nullable in source (YES); first and highest-priority clustering column supporting department-scoped analytics; decimal(4,0) is losslessly cast to INT64."
MySQL,employees,STATUS,varchar(10),stg_employees,status,STRING,CAST(STATUS AS STRING),False,True,NOT NULL in source; third clustering column enabling efficient status-filtered queries (e.g. active headcount reports); direct cast.
MySQL,employees,CREATED_DATE,timestamp,stg_employees,created_date,TIMESTAMP,CAST(CREATED_DATE AS TIMESTAMP),False,False,NOT NULL in source; MySQL TIMESTAMP maps directly to BigQuery TIMESTAMP; timezone assumed UTC; used for historical load baseline reference.
MySQL,employees,UPDATED_DATE,timestamp,stg_employees,updated_date,TIMESTAMP,CAST(UPDATED_DATE AS TIMESTAMP),True,False,Nullable in source (YES); DAY-granularity TIME partition column enabling efficient incremental load window scans and partition pruning; second component of upsert merge key in sp_mysqltobq_load.sql alongside employee_id; NULL rows are placed in BigQuery __NULL__ partition; timezone assumed UTC.
