source_system,source_table,source_column,source_data_type,target_table,target_column,target_data_type,transformation_logic,is_partition_column,is_cluster_column,notes
MySQL,employees,EMPLOYEE_ID,"decimal(10,0)",stg_employees,employee_id,INT64,CAST(EMPLOYEE_ID AS INT64),False,False,"Source primary key. decimal(10,0) carries no fractional digits; INT64 is the correct BigQuery integer type. Pre-load uniqueness check required; post-load PK uniqueness assertion must pass before load is marked complete."
MySQL,employees,FIRST_NAME,varchar(50),stg_employees,first_name,STRING,CAST(FIRST_NAME AS STRING),False,False,NOT NULL in source. BigQuery STRING has no length constraint; original 50-char ceiling is not enforced in target but should be flagged in schema-compatibility check if source length changes.
MySQL,employees,LAST_NAME,varchar(50),stg_employees,last_name,STRING,CAST(LAST_NAME AS STRING),False,False,NOT NULL in source. Same length-constraint consideration as first_name.
MySQL,employees,EMAIL,varchar(100),stg_employees,email,STRING,CAST(EMAIL AS STRING),False,False,NOT NULL in source. Null-constraint violation must be logged and reported before the load is marked complete per acceptance criteria.
MySQL,employees,PHONE_NUMBER,varchar(20),stg_employees,phone_number,STRING,CAST(PHONE_NUMBER AS STRING),False,False,"Nullable in source. NULLs must be preserved in BigQuery. Stored as STRING to accommodate formatted phone strings (dashes, parentheses, country codes)."
MySQL,employees,HIRE_DATE,date,stg_employees,hire_date,DATE,CAST(HIRE_DATE AS DATE),False,False,NOT NULL in source. Direct DATE-to-DATE mapping; MySQL DATE and BigQuery DATE are both calendar-date types with no time or timezone component. No conversion risk.
MySQL,employees,JOB_ID,varchar(20),stg_employees,job_id,STRING,CAST(JOB_ID AS STRING),False,True,Cluster column 2 of 3. NOT NULL in source. Moderate-cardinality code field used frequently in job-level analytics filters; second position in cluster key after department_id.
MySQL,employees,SALARY,"decimal(8,2)",stg_employees,salary,NUMERIC,CAST(SALARY AS NUMERIC),False,False,"NOT NULL in source. BigQuery NUMERIC (up to 29 integer digits, 9 fractional digits) safely covers decimal(8,2). Preserves exact decimal arithmetic for financial aggregations; FLOAT64 is deliberately avoided to prevent rounding errors."
MySQL,employees,COMMISSION_PCT,"decimal(4,2)",stg_employees,commission_pct,NUMERIC,CAST(COMMISSION_PCT AS NUMERIC),False,False,"Nullable. NULL signifies the employee has no commission plan. NUMERIC preserves exact decimal(4,2) precision. Null-constraint report must document NULL count before load completion sign-off."
MySQL,employees,MANAGER_ID,"decimal(10,0)",stg_employees,manager_id,INT64,CAST(MANAGER_ID AS INT64),False,False,"Nullable self-referential FK; NULL indicates no manager (top of org hierarchy). decimal(10,0) mapped to INT64 consistent with employee_id. Referential integrity is not enforced natively in BigQuery; validate via post-load assertion if required."
MySQL,employees,DEPARTMENT_ID,"decimal(4,0)",stg_employees,department_id,INT64,CAST(DEPARTMENT_ID AS INT64),False,True,"Cluster column 1 of 3 (leading cluster key). Nullable. decimal(4,0) mapped to INT64. Department grouping is the most common high-level filter in analytics queries; placing it first in the cluster key maximises partition pruning benefit."
MySQL,employees,STATUS,varchar(10),stg_employees,status,STRING,CAST(STATUS AS STRING),False,True,Cluster column 3 of 3. NOT NULL. Low-cardinality field (e.g. ACTIVE / INACTIVE / TERMINATED). Placed last in cluster key because low cardinality is most effective as a trailing filter after higher-cardinality leading keys.
MySQL,employees,CREATED_DATE,timestamp,stg_employees,created_date,TIMESTAMP,CAST(CREATED_DATE AS TIMESTAMP),True,False,"Partition column — DAY granularity. NOT NULL; chosen over updated_date as partition key because it is non-nullable, ensuring every row lands in a deterministic partition. MySQL TIMESTAMP is stored in UTC; BigQuery TIMESTAMP is also UTC — no timezone conversion required. Drives time-range query pruning and incremental load window scoping."
MySQL,employees,UPDATED_DATE,timestamp,stg_employees,updated_date,TIMESTAMP,CAST(UPDATED_DATE AS TIMESTAMP),False,False,Nullable. Primary delta-tracking watermark for incremental loads: pipeline records MAX(updated_date) from the previous run and queries MySQL WHERE UPDATED_DATE > {watermark} to capture changed rows. NULL on rows that have never been updated after initial insert. MySQL TIMESTAMP is UTC; BigQuery TIMESTAMP is UTC — no conversion required.
